Author,Title,English,Original,Domains,Type,Translator,Translated from,Date,Publication type,Author/Editor,Title,In,Published,Volume,Pages
Aristotle,De Sophisticis Elenchis,On Sophistical Refutations,Περὶ σοφιστικῶν ἐλέγχων,Περὶ σοφιστικῶν ἐλέγχων,Translation,Ibn Zurʿah,Syriac (close),between 960 and 1008,Book,"Badawī, ʿAbd al-Raḥmān",De Sophisticis Elenchis,Pas d'information trouvé,1952b,7,737-1015
Aristotle,De Sophisticis Elenchis,On Sophistical Refutations,Περὶ σοφιστικῶν ἐλέγχων,Περὶ σοφιστικῶν ἐλέγχων,Translation,Ibn Nāʾimah al-Ḥimṣī?,n/a (paraphrase),between 790 and 839,Book,"Badawī, ʿAbd al-Raḥmān",De Sophisticis Elenchis,Pas d'information trouvé,1952c,7,737-1016
Aristotle,Historia Animalium,History of Animals,Περὶ τὰ ζῷα ἱστορίαι,Περὶ τὰ ζῷα ἱστορίαι,Translation,Usṭāṯ,n/a,between 810 and 830,Book,"Badawī, ʿAbd al-Raḥmān",Historia Animalium,Pas d'information trouvé,1977,Pas d'information trouvé,5-503
Aristotle,Topica,Topics,Τοπικά,Τοπικά,Translation,"Abū ʿUṯmān al-Dimašqī (books 1-7), Ibrāhīm ibn ʿAbdallāh al-Nāqid (book 8)",Greek (close),between 870 and 950,Book,"Badawī, ʿAbd al-Raḥmān",Topica,Pas d'information trouvé,1949,7,467-733
Galen,Ars Medica,The Art of Medicine,Τέχνη ἰατρική,Τέχνη ἰατρική,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Sālim, Muḥammad Salīm",Ars Medica,Pas d'information trouvé,1988,3,1-193
Galen,Compendium Timaei Platonis,Commentary on Plato's Timaeus,K. Aflāṭūn al-musammā bi-Ṭīmāwus,K. Aflāṭūn al-musammā bi-Ṭīmāwus,Translation,ʿĪsā ibn Yaḥyā,Syriac (close),between 860 and 910,Book,"Kraus, Paul",Compendium Timaei Platonis,Pas d'information trouvé,1951,1,3-34
Galen,"De Anatomicis Administrationibus I-IX,5",On Anatomical Procedures,Ἀνατομικαὶ ἐγχειρίσεις,Ἀνατομικαὶ ἐγχειρίσεις,Translation,Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Simon, Max","De Anatomicis Administrationibus I-IX,5",Pas d'information trouvé,1906a,1,51-81
Galen,"De Anatomicis Administrationibus I-IX,5",On Anatomical Procedures,Ἀνατομικαὶ ἐγχειρίσεις,Ἀνατομικαὶ ἐγχειρίσεις,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Garofalo, Ivan","De Anatomicis Administrationibus I-IX,5",Pas d'information trouvé,2000a,2,266-578
Galen,"De Anatomicis Administrationibus IX,6-XV",On Anatomical Procedures,Ἀνατομικαὶ ἐγχειρίσεις,Ἀνατομικαὶ ἐγχειρίσεις,Translation,Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Simon, Max","De Anatomicis Administrationibus IX,6-XV",Pas d'information trouvé,1906b,1,1-322
Galen,"De Anatomicis Administrationibus IX,6-XV",On Anatomical Procedures,Ἀνατομικαὶ ἐγχειρίσεις,Ἀνατομικαὶ ἐγχειρίσεις,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Garofalo, Ivan","De Anatomicis Administrationibus IX,6-XV",Pas d'information trouvé,2000b,2,582-590
Galen,De Bono Habitu,Good Condition,Περὶ εὐεξίας,Περὶ εὐεξίας,Translation,Ḥubayš,Syriac (close),between 830 and 870,Manuscript,Pas d'information trouvé,De Bono Habitu,Pas d'information trouvé,Pas d'information trouvé,Pas d'information trouvé,Pas d'information trouvé
Galen,De Causis Contentivis,On Containing Causes,Περὶ τῶν συνεκτικῶν αἰτιῶν,Περὶ τῶν συνεκτικῶν αἰτιῶν,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Lyons, Malcolm C.",De Causis Contentivis,Pas d'information trouvé,1969,2,52-72
Galen,De Consuetudinibus,On Habits,Πρὸς Φαβωρῖνον,Πρὸς Φαβωρῖνον,Translation,Ḥubayš ibn al-Ḥasan,Syriac,between 850 and 890,Article,"Klein-Franke, Felix",De Consuetudinibus,Jerusalem Studies in Arabic and Islam,1979,1,125-150
Galen,De Elementis ex Hippocrate,On the Elements According to Hippocrates,Περὶ στοιχείων καθ' Ἱπποκράτην,Περὶ στοιχείων καθ' Ἱπποκράτην,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Sālim, Muḥammad Salīm",De Elementis ex Hippocrate,Pas d'information trouvé,1986,5,9-140
Galen,De Febrium Differentiis,On the Differences of Fevers,Περὶ διαφορᾶς πυρετῶν,Περὶ διαφορᾶς πυρετῶν,Translation,Ḥunayn ibn Isḥāq,Greek (close),between 850 and 870,Thesis,"Wernhard, Matthias",De Febrium Differentiis,Pas d'information trouvé,2004,Pas d'information trouvé,Pas d'information trouvé
Galen,De Inaequali Intemperie,On Uneven Distemper,Περὶ ἀνωμάλου δυσκρασίας,Περὶ ἀνωμάλου δυσκρασίας,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 856 and 873,Manuscript,Pas d'information trouvé,De Inaequali Intemperie,Pas d'information trouvé,Pas d'information trouvé,Pas d'information trouvé,Pas d'information trouvé
Galen,De Nominibus Medicinalibus,On Medical Names,Περὶ τῶν ἰατρικῶν ὀνομάτων,Περὶ τῶν ἰατρικῶν ὀνομάτων,Translation,Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Meyerhof, Max",De Nominibus Medicinalibus,Pas d'information trouvé,1931,3,1-21
Galen,De Optima Corporis Nostri Constitutione,The Best Constitution of our Bodies,Περὶ ἀρίστης κατασκευῆς τοῦ σώματος ἡμῶν,Περὶ ἀρίστης κατασκευῆς τοῦ σώματος ἡμῶν,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 830 and 870,Manuscript,Pas d'information trouvé,De Optima Corporis Nostri Constitutione,Pas d'information trouvé,Pas d'information trouvé,Pas d'information trouvé,Pas d'information trouvé
Galen,De Optimo Medico Cognoscendo,On Recognizing the Best Physician,Fī miḥnat afḍal al-aṭibbāʾ,Fī miḥnat afḍal al-aṭibbāʾ,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Iskandar, Albert Z.",De Optimo Medico Cognoscendo,Pas d'information trouvé,1988,4,40-136
Galen,De Partibus Artis Medicativae,On the Parts of the Art of Medicine,Περὶ τῶν τῆς ἰατρικῆς μερῶν,Περὶ τῶν τῆς ἰατρικῆς μερῶν,Translation,"Ḥunayn ibn Isḥāq (first half), Isḥāq ibn Ḥunayn (second half)",Syriac (close),between 825 and 910,Book,"Lyons, Malcolm C.",De Partibus Artis Medicativae,Pas d'information trouvé,1969,2,24-48
Galen,De Partium Homoeomerium Differentia,On the Differences of Uniform Parts,Περὶ τῆς τῶν ὁμοιομερῶν σωμάτων διαφορᾶς,Περὶ τῆς τῶν ὁμοιομερῶν σωμάτων διαφορᾶς,Translation,ʿĪsā ibn Yaḥyā,Syriac (close),between 860 and 910,Book,"Strohmaier, Gotthard",De Partium Homoeomerium Differentia,Pas d'information trouvé,1970,3,44-84
Galen,De Pulsibus ad Tirones,On the Pulse for Beginners,Περὶ τῶν σφυγμῶν τοῖς εἰσαγομένοις,Περὶ τῶν σφυγμῶν τοῖς εἰσαγομένοις,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Sālim, Muḥammad Salīm",De Pulsibus ad Tirones,Pas d'information trouvé,1985,3,11-96
Galen,De Sectis ad eos qui introducuntur,On Sects for Beginners,Περὶ αἱρέσεων τοῖς εἰσαγομένοις,Περὶ αἱρέσεων τοῖς εἰσαγομένοις,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 850 and 870,Book,"Sālim, Muḥammad Salīm",De Sectis ad eos qui introducuntur,Pas d'information trouvé,1977,1,11-90
Galen,De Septimestri Partu,On the Seven-Month Child,Περὶ ἑπταμήνων βρεφῶν,Περὶ ἑπταμήνων βρεφῶν,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Article,"Walzer, Richard",De Septimestri Partu,Rivista degli Studi Orientali,1935,15,335-342
Galen,In Hippocratis De Officina Medici,On Hippocrates' Surgery,Εἰς τὸ Ἱπποκράτους κατ' ἰητρεῖον βιβλίον ὑπομνήματα,Εἰς τὸ Ἱπποκράτους κατ' ἰητρεῖον βιβλίον ὑπομνήματα,Translation,Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Lyons, Malcolm C.",In Hippocratis De Officina Medici,Pas d'information trouvé,1963,1,10-96
Galen,In Hippocratis Epidemiarum librum I,On Hippocrates' Epidemics I,Ἱπποκράτους ἐπιδημιῶν αʹ καὶ Γαληνοῦ εἰς αὐτο ὑπομνήματα,Ἱπποκράτους ἐπιδημιῶν αʹ καὶ Γαληνοῦ εἰς αὐτο ὑπομνήματα,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 850 and 873,Book,"Vagelpohl, Uwe",In Hippocratis Epidemiarum librum I,Pas d'information trouvé,2014,5,68-498
Galen,In Hippocratis Epidemiarum librum II,On Hippocrates' Epidemics II,Ἱπποκράτους ἐπιδημιῶν βʹ καὶ Γαληνοῦ εἰς αὐτο ὑπομνήματα,Ἱπποκράτους ἐπιδημιῶν βʹ καὶ Γαληνοῦ εἰς αὐτο ὑπομνήματα,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 850 and 873,Book,"Vagelpohl, Uwe",In Hippocratis Epidemiarum librum II,Pas d'information trouvé,2016,5,76-966
Galen,Quod Animi Mores Corporis Temperamenta Sequantur,The Faculties of the Soul follow the Mixtures of the Body,Ὅτι ταῖς τοῦ σώματος κράσεσιν αἱ τῆς ψυχῆς δυνάμεις ἕπονται,Ὅτι ταῖς τοῦ σώματος κράσεσιν αἱ τῆς ψυχῆς δυνάμεις ἕπονται,Translation,Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Biesterfeldt, Hans Hinrich",Quod Animi Mores Corporis Temperamenta Sequantur,Pas d'information trouvé,1973,40,9-44
Galen,Quod Optimus Medicus Sit Quoque Philosophus,The Best Doctor is also a Philosopher,Ὅτι ὁ ἄριστος ἰατρὸς καὶ φιλόσοφος,Ὅτι ὁ ἄριστος ἰατρὸς καὶ φιλόσοφος,Translation,Ḥunayn ibn Isḥāq or ʿĪsā ibn Yaḥyā,Syriac (close),between 825 and 910,Book,"Bachmann, Peter",Quod Optimus Medicus Sit Quoque Philosophus,Pas d'information trouvé,1965,1,14-26
Gregory of Nazianzus,Carmen Morale XXX,Moral Poems XXX,"Στίχων ἡ ἀκροστιχὶς τῶν πάντων στοιχείων, ἑκάστου ἰάμβου τέλος παραινέσεως ἔχοντος","Στίχων ἡ ἀκροστιχὶς τῶν πάντων στοιχείων, ἑκάστου ἰάμβου τέλος παραινέσεως ἔχοντος",Translation,anon.,Greek,before 1050,Book,"Ullmann, Manfred",Carmen Morale XXX,Pas d'information trouvé,1961c,34,77-80
Hippocrates,Aphorismi,Aphorisms,Ἀφορισμοί,Ἀφορισμοί,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Tytler, John",Aphorismi,Pas d'information trouvé,1832,Pas d'information trouvé,1-65
Hippocrates,Aphorismi,Aphorisms,Ἀφορισμοί,Ἀφορισμοί,Translation,al-Biṭrīq?,n/a,between 750 and 780,Book,"Houtsma, Martijn Theodoor",Aphorismi,Pas d'information trouvé,1883,1,107-116
Hippocrates,"De Aere, Aquis, Locis","Airs, Waters, Places","Περὶ ἀέρων, ὑδάτων, τόπων","Περὶ ἀέρων, ὑδάτων, τόπων",Translation,Ḥunayn ibn Isḥāq or Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Mattock, John N.","De Aere, Aquis, Locis",Pas d'information trouvé,1969a,5,1-163
Hippocrates,"De Aere, Aquis, Locis","Airs, Waters, Places","Περὶ ἀέρων, ὑδάτων, τόπων","Περὶ ἀέρων, ὑδάτων, τόπων",Translation,Ḥunayn ibn Isḥāq or Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Mattock, John N.","De Aere, Aquis, Locis",Pas d'information trouvé,1969b,5,1-163
Hippocrates,De Alimento,Nutriment,Περὶ τροφῆς,Περὶ τροφῆς,Translation,al-Biṭrīq,Greek (close),between 750 and 780,Book,"Mattock, John N.",De Alimento,Pas d'information trouvé,1971,6,1-21
Hippocrates,De Diaeta in Morbis Acutis,Regimen in Acute Diseases,Περὶ διαίτης ὀξέων,Περὶ διαίτης ὀξέων,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Lyons, Malcolm C.",De Diaeta in Morbis Acutis,Pas d'information trouvé,1966,1,1-44
Hippocrates,De Genitura,Generation,Περὶ γονῆς,Περὶ γονῆς,Translation,Ibn Šahdā al-Karḫī,Syriac (paraphrase),between 810 and 830,Book,"Lyons, Malcolm C.",De Genitura,Pas d'information trouvé,1978,7,31-45
Hippocrates,De Humoribus,Humours,Περὶ χυμῶν,Περὶ χυμῶν,Translation,ʿĪsā ibn Yaḥyā or Abū l-Ḥasan Aḥmad ibn Mūsā,Syriac (close),between 860 and 910,Book,"Mattock, John N.",De Humoribus,Pas d'information trouvé,1971,6,1-37
Hippocrates,De Natura Hominis,Nature of Man,Περὶ φύσιος ἀνθρώπου,Περὶ φύσιος ἀνθρώπου,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Mattock, John N.",De Natura Hominis,Pas d'information trouvé,1968,4,1-26
Hippocrates,De Natura Pueri,Nature of the Child,Περὶ φύσιος παιδίου,Περὶ φύσιος παιδίου,Translation,Ibn Šahdā al-Karḫī,Syriac (paraphrase),between 810 and 830,Book,"Lyons, Malcolm C.",De Natura Pueri,Pas d'information trouvé,1978,7,45-85
Hippocrates,De Officina Medici,In the Surgery,Κατ' ἰητρεῖον,Κατ' ἰητρεῖον,Translation,Ḥubayš ibn al-Ḥasan,Syriac (close),between 850 and 890,Book,"Mattock, John N.",De Officina Medici,Pas d'information trouvé,1968,3,1-19
Hippocrates,De Salubri Diaeta,Regimen in Health,Περὶ διαίτης ὑγιεινῆς,Περὶ διαίτης ὑγιεινῆς,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Book,"Mattock, John N.",De Salubri Diaeta,Pas d'information trouvé,1968,4,27-36
Hippocrates,De Superfoetatione,Superfetation,Περὶ ἐπικυήσιος,Περὶ ἐπικυήσιος,Translation,Ḥunayn ibn Isḥāq?,n/a,between 825 and 873,Book,"Mattock, John N.",De Superfoetatione,Pas d'information trouvé,1968,3,1-25
Hippocrates,Iusiurandum,Oath,Ὅρκος,Ὅρκος,Translation,Ḥubayš ibn al-Ḥasan or ʿĪsā ibn Yaḥyā,Syriac,between 850 and 875,Book,"Müller, August",Iusiurandum,Pas d'information trouvé,1884,Pas d'information trouvé,25-26
Hippocrates,Prognosticon,Prognostic,Προγνωστικόν,Προγνωστικόν,Translation,Ḥunayn ibn Isḥāq,Syriac (close),between 825 and 873,Article,"Klamroth, Martin",Prognosticon,Zeitschrift der Deutschen Morgenländischen Gesellschaft,1886,40,204-233
Hypsicles,Anaphoricus,On Ascensions,Ἀναφορικός,Ἀναφορικός,Translation,Qusṭā ibn Lūqā,Greek,between 850 and 912,Book,"de Falco, Vittorio",Anaphoricus,Pas d'information trouvé,1966,66,70-75
Nicolaus of Damascus,De Plantis,On Plants,Περὶ φυτῶν,Περὶ φυτῶν,Translation,Isḥāq ibn Ḥunayn,Syriac,between 865 and 900,Book,"Badawī, ʿAbd al-Raḥmān",De Plantis,Pas d'information trouvé,1954,16,243-281
Nicomachus of Gerasa,Introductio Arithmeticae,Introduction to Arithmetic,Ἀριθμητικὴ εἰσαγωγή,Ἀριθμητικὴ εἰσαγωγή,Translation,Ṯābit ibn Qurra,Greek,between 860 and 901,Book,"Kutsch, Wilhelm",Introductio Arithmeticae,Pas d'information trouvé,1959,9,11-114
Pappus,In Euclidis Elementa,Commentary on Euclid's Elements,K. Babus fī l-aʿẓām al-munṭaqa wa-l-ṣumm,K. Babus fī l-aʿẓām al-munṭaqa wa-l-ṣumm,Translation,Abū ʿUṯmān al-Dimašqī,n/a,between 870 and 920,Book,"Thomson, William",In Euclidis Elementa,Pas d'information trouvé,1930,8,191-260
Porphyry,De Vita Pythagorica,Life of Pythagoras,Πυθαγόρου βίος,Πυθαγόρου βίος,Translation,anon.,n/a,between 820 and 875,Book,"Müller, August",De Vita Pythagorica,Pas d'information trouvé,1884,Pas d'information trouvé,38-41
Porphyry,Isagoge,Introduction,Εἰσαγωγή,Εἰσαγωγή,Translation,Abū ʿUṯmān al-Dimašqī,Syriac,between 870 and 920,Book,"al-Ahwānī, Aḥmad Fuʾād",Isagoge,Pas d'information trouvé,1952,Pas d'information trouvé,67-94
Porphyry,Isagoge,Introduction,Εἰσαγωγή,Εἰσαγωγή,Translation,Abū ʿUṯmān al-Dimašqī,Syriac,between 870 and 920,Book,"Badawī, ʿAbd al-Raḥmān",Isagoge,Pas d'information trouvé,1952,7,1021-1068
Proclus Diadochus,De Aeternitate Mundi,On the Eternity of the World,Περὶ αἰδιότητος τοῦ κόσμου,Περὶ αἰδιότητος τοῦ κόσμου,Translation,Isḥāq ibn Ḥunayn,Syriac,between 865 and 910,Book,"Badawī, ʿAbd al-Raḥmān",De Aeternitate Mundi,Pas d'information trouvé,1955,19,34-42
Proclus Diadochus,Institutio Theologica,Elements of Theology,Στοιχείωσις θεολογική,Στοιχείωσις θεολογική,Translation,Ibn al-Biṭrīq,Greek,between 810 and 830,Book,"Endress, Gerhard",Institutio Theologica,Pas d'information trouvé,1973,10,3-38
Proclus Diadochus,Quaestiones Naturales,Natural Questions,Masāʾil Fruqlīs fī l-ašyāʾ al-ṭabīʿīya,Masāʾil Fruqlīs fī l-ašyāʾ al-ṭabīʿīya,Translation,Isḥāq ibn Ḥunayn,Syriac,between 865 and 910,Book,"Badawī, ʿAbd al-Raḥmān",Quaestiones Naturales,Pas d'information trouvé,1955,19,43-49
pseudo-Aristotle,Testamentum Aristotelis,Testament,Waṣīyat Arisṭālīs,Waṣīyat Arisṭālīs,Translation,Isḥāq ibn Ḥunayn,n/a,between 865 and 910,Book,"Flügel, Gustav",Testamentum Aristotelis,Pas d'information trouvé,1871,1,247-248
pseudo-Cebes,Cebetis Tabula,Tablet of Cebes,Κέβητος πίναξ,Κέβητος πίναξ,Translation,anonymous,Greek (close),between 750 and 1000,Book,"Lozano y Casela, Pablo",Cebetis Tabula,Pas d'information trouvé,1793,Pas d'information trouvé,3-85
